file	page	x0	y0	x1	y1	text
0259.pdf	1	36.00	5.17	43.98	17.14	P
0259.pdf	1	43.99	5.17	47.98	17.14	r
0259.pdf	1	47.98	5.17	50.71	17.14	i
0259.pdf	1	50.71	5.17	57.37	17.14	n
0259.pdf	1	57.37	5.17	60.69	17.14	t
0259.pdf	1	60.84	5.17	67.50	17.14	e
0259.pdf	1	67.50	5.17	74.16	17.14	d
0259.pdf	1	74.17	5.17	77.48	17.14	:
0259.pdf	1	80.49	5.17	87.15	17.14	1
0259.pdf	1	87.15	5.17	93.81	17.14	6
0259.pdf	1	93.81	5.17	97.13	17.14	.
0259.pdf	1	97.14	5.17	103.80	17.14	0
0259.pdf	1	103.96	5.17	110.62	17.14	3
0259.pdf	1	110.63	5.17	113.94	17.14	.
0259.pdf	1	113.95	5.17	120.61	17.14	2
0259.pdf	1	120.61	5.17	127.27	17.14	0
0259.pdf	1	127.44	5.17	134.10	17.14	2
0259.pdf	1	134.10	5.17	140.76	17.14	3
0259.pdf	1	143.64	5.17	150.30	17.14	9
0259.pdf	1	150.30	5.17	153.62	17.14	:
0259.pdf	1	153.63	5.17	160.29	17.14	5
0259.pdf	1	160.29	5.17	166.95	17.14	4
0259.pdf	1	324.00	29.96	334.12	43.97	D
0259.pdf	1	334.12	29.96	341.91	43.97	a
0259.pdf	1	341.83	29.96	345.71	43.97	f
0259.pdf	1	345.72	29.96	348.92	43.97	i
0259.pdf	1	349.08	29.96	356.88	43.97	n
0259.pdf	1	356.79	29.96	364.58	43.97	e
0259.pdf	1	368.23	29.96	377.56	43.97	E
0259.pdf	1	377.58	29.96	385.37	43.97	n
0259.pdf	1	385.37	29.96	393.16	43.97	g
0259.pdf	1	393.16	29.96	396.36	43.97	i
0259.pdf	1	396.36	29.96	404.15	43.97	n
0259.pdf	1	404.15	29.96	411.94	43.97	e
0259.pdf	1	411.94	29.96	419.74	43.97	e
0259.pdf	1	419.74	29.96	424.40	43.97	r
0259.pdf	1	424.41	29.96	427.60	43.97	i
0259.pdf	1	427.60	29.96	435.39	43.97	n
0259.pdf	1	435.39	29.96	443.19	43.97	g
0259.pdf	1	446.83	29.96	457.72	43.97	O
0259.pdf	1	457.73	29.96	467.85	43.97	Ü
0259.pdf	1	40.32	68.53	48.30	80.50	S
0259.pdf	1	48.31	68.53	54.97	80.50	u
0259.pdf	1	54.97	68.53	61.63	80.50	p
0259.pdf	1	61.80	68.53	68.46	80.50	p
0259.pdf	1	68.46	68.53	71.19	80.50	l
0259.pdf	1	71.19	68.53	73.92	80.50	i
0259.pdf	1	73.82	68.53	80.48	80.50	e
0259.pdf	1	80.49	68.53	84.47	80.50	r
0259.pdf	1	381.60	69.56	392.49	83.57	G
0259.pdf	1	392.50	69.56	400.29	83.57	o
0259.pdf	1	400.29	69.56	408.09	83.57	o
0259.pdf	1	408.09	69.56	415.88	83.57	d
0259.pdf	1	415.88	69.56	422.89	83.57	s
0259.pdf	1	426.53	69.56	436.65	83.57	R
0259.pdf	1	436.65	69.56	444.44	83.57	e
0259.pdf	1	444.36	69.56	451.36	83.57	c
0259.pdf	1	451.51	69.56	459.30	83.57	e
0259.pdf	1	459.21	69.56	462.41	83.57	i
0259.pdf	1	462.41	69.56	469.41	83.57	v
0259.pdf	1	469.55	69.56	477.35	83.57	e
0259.pdf	1	477.35	69.56	485.14	83.57	d
0259.pdf	1	488.65	69.56	498.76	83.57	N
0259.pdf	1	498.77	69.56	506.56	83.57	o
0259.pdf	1	506.47	69.56	510.35	83.57	t
0259.pdf	1	510.37	69.56	518.16	83.57	e
0259.pdf	1	327.24	95.53	335.89	107.50	R
0259.pdf	1	335.89	95.53	342.55	107.50	e
0259.pdf	1	342.55	95.53	345.87	107.50	f
0259.pdf	1	345.88	95.53	349.20	107.50	/
0259.pdf	1	349.21	95.53	358.51	107.50	G
0259.pdf	1	358.67	95.53	367.32	107.50	R
0259.pdf	1	367.32	95.53	375.97	107.50	N
0259.pdf	1	456.84	95.53	463.50	107.50	0
0259.pdf	1	463.50	95.53	470.16	107.50	4
0259.pdf	1	470.16	95.53	476.82	107.50	0
0259.pdf	1	476.82	95.53	483.48	107.50	3
0259.pdf	1	40.32	95.77	48.30	107.74	K
0259.pdf	1	48.31	95.77	54.97	107.74	u
0259.pdf	1	54.97	95.77	64.95	107.74	m
0259.pdf	1	65.03	95.77	71.69	107.74	e
0259.pdf	1	71.69	95.77	77.68	107.74	x
0259.pdf	1	80.79	95.77	90.10	107.74	O
0259.pdf	1	90.11	95.77	98.76	107.74	Ü
0259.pdf	1	327.24	117.13	335.22	129.10	P
0259.pdf	1	335.23	117.13	344.54	129.10	O
0259.pdf	1	347.90	117.13	356.55	129.10	N
0259.pdf	1	356.55	117.13	363.21	129.10	u
0259.pdf	1	363.14	117.13	373.11	129.10	m
0259.pdf	1	373.20	117.13	379.86	129.10	b
0259.pdf	1	379.86	117.13	386.52	129.10	e
0259.pdf	1	386.52	117.13	390.51	129.10	r
0259.pdf	1	456.84	117.13	463.50	129.10	0
0259.pdf	1	463.50	117.13	470.16	129.10	2
0259.pdf	1	470.16	117.13	476.82	129.10	5
0259.pdf	1	476.82	117.13	483.48	129.10	9
0259.pdf	1	327.24	138.73	335.89	150.70	R
0259.pdf	1	335.89	138.73	342.55	150.70	e
0259.pdf	1	342.55	138.73	348.54	150.70	c
0259.pdf	1	348.54	138.73	355.20	150.70	e
0259.pdf	1	355.20	138.73	357.93	150.70	i
0259.pdf	1	358.08	138.73	364.06	150.70	v
0259.pdf	1	364.06	138.73	370.72	150.70	e
0259.pdf	1	370.72	138.73	377.38	150.70	d
0259.pdf	1	380.38	138.73	389.03	150.70	D
0259.pdf	1	389.12	138.73	395.78	150.70	a
0259.pdf	1	395.79	138.73	399.10	150.70	t
0259.pdf	1	399.11	138.73	405.77	150.70	e
0259.pdf	1	456.84	138.73	463.50	150.70	8
0259.pdf	1	463.50	138.73	466.82	150.70	.
0259.pdf	1	466.83	138.73	473.49	150.70	0
0259.pdf	1	473.66	138.73	480.32	150.70	3
0259.pdf	1	480.32	138.73	483.63	150.70	.
0259.pdf	1	483.64	138.73	490.30	150.70	2
0259.pdf	1	490.31	138.73	496.97	150.70	0
0259.pdf	1	496.97	138.73	503.63	150.70	2
0259.pdf	1	503.55	138.73	510.21	150.70	3
0259.pdf	1	327.24	160.33	335.22	172.30	S
0259.pdf	1	335.23	160.33	341.89	172.30	u
0259.pdf	1	341.89	160.33	348.55	172.30	p
0259.pdf	1	348.72	160.33	355.38	172.30	p
0259.pdf	1	355.38	160.33	358.11	172.30	l
0259.pdf	1	358.11	160.33	360.84	172.30	i
0259.pdf	1	360.84	160.33	367.50	172.30	e
0259.pdf	1	367.67	160.33	371.66	172.30	r
0259.pdf	1	374.53	160.33	382.51	172.30	A
0259.pdf	1	382.68	160.33	389.33	172.30	d
0259.pdf	1	389.34	160.33	395.32	172.30	v
0259.pdf	1	395.32	160.33	398.06	172.30	i
0259.pdf	1	398.06	160.33	404.04	172.30	c
0259.pdf	1	404.04	160.33	410.70	172.30	e
0259.pdf	1	413.82	160.33	422.47	172.30	N
0259.pdf	1	422.47	160.33	429.13	172.30	o
0259.pdf	1	429.06	160.33	432.37	172.30	.
0259.pdf	1	456.84	160.33	463.50	172.30	1
0259.pdf	1	463.50	160.33	470.16	172.30	2
0259.pdf	1	470.16	160.33	476.82	172.30	3
0259.pdf	1	476.99	160.33	483.65	172.30	1
0259.pdf	1	483.65	160.33	490.31	172.30	3
